A1_ratio,A2_ratio,A1_cell_fall,A1_cell_rise,A2_cell_fall,A2_cell_rise
0,0,0.069035183673469,0.055194285714286,0.073795306122449,0.053037551020408
0,0.25,0.069025408163265,0.05526387755102,0.06954587755102,0.057261836734694
0,0.5,0.069015795918367,0.055350408163265,0.065327918367347,0.061484489795918
0,0.75,0.068992326530612,0.055435714285714,0.061108408163265,0.065708367346939
0,1,0.06897293877551,0.055519183673469,0.056893224489796,0.069924897959184
0.25,0,0.064820448979592,0.059414693877551,0.07368612244898,0.053101632653061
0.25,0.25,0.064426836734694,0.059837755102041,0.069077612244898,0.057674489795918
0.25,0.5,0.064034959183674,0.060264081632653,0.064488755102041,0.062251020408163
0.25,0.75,0.063655755102041,0.060703673469388,0.059906755102041,0.066839183673469
0.25,1,0.063267632653061,0.06115693877551,0.055329469387755,0.071414081632653
0.5,0,0.060612142857143,0.063641836734694,0.073582244897959,0.053178775510204
0.5,0.25,0.059838612244898,0.064414285714286,0.068600571428572,0.05810306122449
0.5,0.5,0.059096734693878,0.065214081632653,0.063659224489796,0.063049591836735
0.5,0.75,0.058381510204082,0.066021632653061,0.058742918367347,0.068008571428571
0.5,1,0.057778204081633,0.064087959183674,0.053926020408163,0.070186734693878
0.75,0,0.056421489795918,0.067861428571429,0.073466734693878,0.05326387755102
0.75,0.25,0.055301040816327,0.06899693877551,0.068125387755102,0.058534693877551
0.75,0.5,0.054207836734694,0.070177346938776,0.062850530612245,0.063863673469388
0.75,0.75,0.053151163265306,0.07140306122449,0.057614469387755,0.069224081632653
0.75,1,0.052134918367347,0.072675714285714,0.052407693877551,0.07464387755102
1,0,0.052202816326531,0.072090816326531,0.073358612244898,0.053356734693878
1,0.25,0.050719408163265,0.073587142857143,0.067652653061225,0.058979387755102
1,0.5,0.049307,0.075152244897959,0.062048836734694,0.064717755102041
1,0.75,0.047949836734694,0.076802653061225,0.056526265306123,0.070501428571429
1,1,0.046661510204082,0.078543265306123,0.051045530612245,0.076398979591837
